,日本語,英語,中国語,ポルトガル語,モンゴル語
31,成ってくるのが天の理,Whatever happens is the truth of heaven.,诚然之理,O que quer que aconteça é a razão celeste.,бий болж ирэх нь тэнгэрийн ёс
32,教祖魂のいんねん,(the) Causality of the Soul of Oyasama,教祖灵魂因缘,A predestinação da alma de Oyassama,Оясама сүнсний хувь тавилан
33,やしきのいんねん,(the) Causality of the Residence,宅院因缘,A predestinação da residência,өргөөний хувь тавилан
34,旬刻限の理,(the) Causality of the Promised Time,天时之理,A razão do tempo predeterminado,болзоот цагийн хувь тавилан
35,だめの教え,(the) ultimate teaching,终极教义,O último ensinamento / O derradeiro ensinamento,хамгаас эрхэм дээд сургаал
36,万人のひながた,Oyasama's model path for one and all,万人之典范,A vida-modelo da toda humanidade,түмэн олны Үлгэр дуурайл
37,生神様,living god,活神,A Deusa viva,амьд бурхан
38,ご苦労,hardships,蒙受苦难,O sacrifício,хал зовлон
39,「真実なら神が受け取る。」,"""If sincere, God will accept.""",“只要真诚，神一定接受。”,"Sendo sinceridade, Deus aceitará","""Чин үнэн сэтгэлийг бурхан хүлээн авна"
40,「講を結べ。」,"""Form fellowships.""",“成立讲社。”,Formem uma irmanidade,"""сургалтын газар нээ."""
41,ろくぢ,leveled ground,踏平,A terra nivelada,газар шороог тэгшлэх
42,立教,(the) founding of the Teaching,立教,A Revelação Divina,Тенрикёо эхэлсэн өдөр
43,天保9年10月26日,"October 26, 1838",天保9年10月26日,26 de outubro de 1838,1838 оны 10-р сарын 26-ны өдөр
44,屋敷,(the) Residence,宅院,A Residência,өргөө
45,元のいんねん,(the) causality of origin,元始因缘,A predestinação original,Эх үүслийн хувь тавилан
46,神,God,神,Deus,бурхан
47,月日,Tsukihi,月日,Lua-Sol,Саран Наран
48,をや,(the) Parent,父母,Parens,Эцэг эх
49,お急き込み,hastening,催促,Apressar,яаруулах
50,赤衣,red kimono,红衣,O quimono vermelho,Улаан кимоно
51,合殿,(the) Connecting Hall,合殿,O recinto de ligação,Холбогдох өргөө
52,貧に落ちきる,fall to the depth of poverty,彻底,Mergulhar na pobreza,ядуугийн туйлд унах
53,貧のどん底,(the) depths of poverty,赤贫,A profunda pobreza,ядуугийн туйл
54,「水を飲めば水の味がする」,"""When you drink water, it tastes of water.""",“喝水知道水的美味。”,"Quando bebemos a água, sentimos gosto da água","""Усыг уувал усны амтыг мэдэрнэ"""
55,「やさしい心になりなされや。」,"""Become a person with a gentle heart.""",“要有温厚心”,Torne o seu espírito amável,"""Сайхан сэтгэлтэй байгаарай"""
56,「人を救けなされや。」,"""Save other people.""",“要救人”,Salve o próximo,"""Хүнд тус хүргээгээрэй"""
57,「癖、性分をとりなされや。」,"""Change your habits and temperament.""",“要改掉不好的习性”,Mude os seus maus hábitos e o temperamento,"""Өөрийн гэсэн зан чанараа өөрчилөх шүү дээ"""
58,三つの宝,three treasures,三宝,Os três tesouros,гурван эрдэнэ
59,麻,linen,麻布,O linho,ёрог
60,絹,silk,丝绸,A seda,торго
61,木綿,cotton,棉布,A algodão,хөвөн даавуу
62,定命を縮める,shorten the natural term of life,缩短定寿,Encurtar a vida determinada,тогтсон наслалтаа богиносгох
63,現身を隠す,withdraw from physical life,隐去身影,Ocultar-se fisicamente,Оясама махан биеэсээ гарсан
64,明治20年陰暦正月26日,"(the) lunar calendar date of January 26, 1887",明治20年农历正月26日,26 de janeiro de 1887 do calendário lunar,1838 оны билгийн тооллын 1-р сарын 26-ны өдөр
65,ひながた,(the) Divine Model,典范,A vida-modelo,Үлгэр дуурайлт
66,50年にわたるひながた,(the) fifty-year Divine Model,五十年的典范,A vida-modelo de durante 50 anos,50 жилийн хугацааны Үлгэр дуурайлт
67,ひながたをたどる,follow the Divine Model,遵循典范,Seguir a vida-modelo,Үлгэр дуурайлтыг дагах
68,教祖ひながたを慕う,yearn for the Divine Model of Oyasama,仰慕教祖典范,Adorar a vida-modelo de Oyassama,Оясамагийн Үлгэр дуурайлтыг 
69,「ひながたの道を通らねばひながた要らん。…ひながたの道より道がないで。」,"""If you do not follow the path of the Divine Model, there is no need for a Divine Model.... There is no path but the path of the Divine Model.""",“典范之道若不实践，则不需典范；·····典范之道外，无他道。”,"Se não trilharem o caminho da vida-modelo, não será necessário a vida-modelo. (...) Não há outro caminho a não ser o da vida-modelo","""Үлгэр дуурайлт замыг туулахгүй бол ямар ч утга агуулгагүй. ........Үлгэр дуурайлт замаас өөр зам байхгүй"""
70,御存命の教祖,the everliving Oyasama,永生的教祖,Oyassama eternamente viva,мөнхөд оршиж буй Оясама
71,世界いちれつ,all people throughout the world,万般世界,Todas as pessoas do mundo,дэлхий ертөнц
72,紋型ないところから,when there was no form,从虚无中,Sem ter algo como modelo,аливаа зүйлс биежин тогтоогүй орчноос
73,人間世界,humankind and the world,人类世界,O mundo humano,хүн төрөлхтний дэлхий ертөнц
74,神人和楽の陽気,(the) joy of the harmonious union of God and humankind,神人和乐的康乐,Uma inefável alegria em que participam juntos Deus e os seres humanos,бурхан хүн хамтдаа цэнгэлдэх энх баясгалан
75,元の理,(the) truth of origin,创始之理,A razão da origem,Эх үүслийн ёс
76,元一日,(the) day of origin,元始一日,O dia original,Эх үүслийн өдөр
77,どろ海,muddy ocean,泥海,O mar de lama,шаварт далай
78,どぢよ,loaches,泥鳅,Os cadozes,могой жарсан загас
79,うを,fish,人鱼,O sirênio,загас
80,み,serpent,白蛇,A cobra branca,могой
81,夫婦の雛型,(the) models of husband and wife,夫妇雏型,O modelo original de casal humano,эхнэр нөхрийн загвар
82,しゃち,orc,虎鲸,O golfinho,халим
83,かめ,turtle,乌龟,A tartaruga,яст мэлмий
84,うなぎ,eel,鳗鱼,A enguia,могой загас
85,かれい,flatfish,蝶鱼,A solha,халпинь
86,くろぐつな,black snake,黑蛇,A cobra preta,хар могой
87,ふぐ,globe-fish,河豚,O baiacu,хос загас
88,引き寄せる,draw forth,引到,Reunir / atrair / chamar,дэргэдээ ойртуулах
89,人間のたね,seeds of human beings,人类的种子,A semente de ser humano,хүний үр
90,虫,worms,虫,Os insetos,хорхой
91,鳥,birds,鸟,Os pássaros,жигүүртэн
92,畜類,beasts,兽类,Os mamíferos,амьтан зэрэг
93,めざる,she-monkey,母猴,A macaca,эм сармагчин
94,知恵の仕込み/〜の仕込みをする,train in wisdom,酝酿智慧,Instruir a inteligência,оюун ухаан хүртээх
95,文字の仕込み/〜の仕込みをする,train in letters,传授文字,Instruir as letras.,бичиг үсэг
96,宿し込む,conceive,孕育,Conceder-se,тээн төрүүлэх
97,甘露,heavenly dew,甘露,O néctar,ариун дусал рашаан
98,病まず、死なず、弱らず,"freedom from illness, death, and weakening",不病、不死、不衰弱,"Ficar livres da doença, da morte e do enfraquecimento","өвчлөхгүй, үхэхгүй, тамирдахгүй"
99,親神の懐に抱かれる,be embraced in the bosom of God the Parent,父母神的怀抱,Abrigado no seio de Deus-Parens,Эцэг Эх бурхны өвөрт тэврэх
100,おつとめ,service,圣舞,O Serviço,Мөргөл
101,朝づとめ,morning service,早拜,O Serviço matutino,Өглөөний мөргөл
102,夕づとめ,evening service,晚拜,O Serviço vespertino ,Оройн мөргөл
103,座りづとめ,seated service,坐拜,O Serviço sentado,Суугаа мөргөл
104,日参,daily visit to a church,日参,A reverência diária,өдөр болгон мөргөл хийхээр очих
105,かぐら面,kagura mask,神乐面具,A máscara de Kagura,Кагүра баг
106,かぐらづとめ,(the) Kagura Service,神乐圣舞,O Serviço de Kagura,Кагүра багт мөргөл
107,よふきづとめ,(the) Joyous Service,康乐圣舞,O Serviço Alegre,Энх баясгалант мөргөл
108,たすけづとめ,(the) Salvation Service,拯救圣舞,O Serviço da Salvação ,Авралын мөргөл
109,かんろだいのつとめ,(the) Service of the Kanrodai,甘露台圣舞,O Serviço de Kanrodai,Канродай мөргөл
110,をびやづとめ,(the) Service for Safe Childbirth,安产圣舞,O Serviço do parto feliz,Эсэн мэнд амаржих мөргөл
111,はえでづとめ,(the) Service for Germination,萌芽圣舞,O Serviço do brotamento,арвин ургацын мөргөл
112,お願いづとめ,prayer service,祈愿圣舞,O Serviço de solicitação ,Ивээл даатгах мөргөл
113,お礼づとめ,appreciation service,答谢圣舞,O Serviço de agradecimento ,Талархал дэвшүүлэх мөргөл
114,つとめ人衆,Service performers,奉行圣舞人员,O pessoal do Serviço,Гагүра багт мөргөл гүйцэтгэгч
115,おつとめ奉仕者,service performers,圣舞奉行者,O servidor do Serviço,Мөргөл хийх хүмүүс
116,手振り,hand movements,手势,Movimento das mãos,Гарын хөдөлгөөн
117,よろづ一切,all things,创世创人的一切；万般情,Todas as coisas,түмэн зүйл
118,いさい,in detail,详尽；详告,Todos,түмэн зүйл
119,真実を尽くす,exert one's sincerity,竭尽真诚,Dedicar a sinceridade,чин үнэн сэтгэлийг хандуулах
120,恵み,blessings,慈惠,A graça,өгөөж
121,誠真実,true sincerity,真诚之心,A sinceridade verdadeira,чин үнэн
122,誠の心,(the) mind of sincerity,真诚之心,O espírito sincero,чин үнэн сэтгэл
123,誠の人,person of sincerity,真诚的人,A pessoa sincera,чин үнэн сэтгэлтэй хүн
124,誠一つが天の理,Sincerity alone is the truth of heaven.,真诚一理为天之理,A sinceridade é a razão do céu,үнэн шударга бол тэнгэрийн ёс
125,さづけの理,(the) truth of the Sazuke,神授之理,O Dom do Sazuke,Сазүкэ ёс
126,道の路金,travel expenses,旅費；盘川,A despesa de viagem,замын зардал
127,おさづけを取り次ぐ,administer the Sazuke,行使神授,Ministrar o Sazuke,Сазүкэ ёсыг хүртээнэ
128,三日三夜,three days and three nights,三天三夜,três dias e três noites,гурван өдөр гурван шөнө
129,つくしはこび,contribution and dedication,献诚、致力,Conduzir-se e dedicar-se,сэтгэл зориулан хүчээ шавхах
130,病の根を切る,sever the root of illness,消除病根,Cortar a raiz das doenças,өвчний үндэснийг таслах
131,我が身思案,self-centered thoughts,自我为中心判断事情；只顾自身的想法,As cogitações egoísticas,дур зоргоороо
132,人間思案,human thinking,世俗想法,As cogitações humanas,дур зоргоороо амин хувиа хичээх
133,自分中心の心遣い,selfish use of the mind,自我为中心的想法,uso espiritual de forma egocêntrica,дур зоргоороо аашлах сэтгэл
134,心のほこりを払う,sweep away the dusts of the mind,扫除心尘,Limpar as poeiras espirituais.,сэтгэлийн тоосыг арилгах
135,八つのほこり,eight dusts of the mind,八种心尘,As oito poeiras espirituais,найман тоос
136,をしい,miserliness,吝惜,A mesquinhez,харамч ховдог
137,ほしい,covetousness,贪心,A cobiça,сувдаг шунахай
138,にくい,hatred,憎恶,O ódio,жигшил зэвүүцэл
139,かわい,self-love,偏爱,O amor-próprio,алагчлах үзэл
140,うらみ,grudge-bearing,怨恨,O rancor,өшөө хорсон
141,はらだち,anger,气愤,A raiva,уур хилэн
142,よく,greed,私欲,A ambição,шунал тачаал
143,こうまん,arrogance,骄傲,O orgulho,бардам дээрэнгүй
144,うそ,falsehood,说谎,A mentira,худал
145,ついしょ,flattery,谄媚,A lisonja,бялдууч
146,心遣い,use of the mind,心念、心,O uso do espírito,сэтгэл
147,大難,great misfortune,大难,"Grandes males, grandes infortúnios",их гай барцад
148,小難,small misfortune,小难,"Pequenos males, pequenos infortúnios",бага гай барцад
149,無難,no misfotune,无难,Sem dificuldades,гай барцдыг арилгах
150,身上・事情,illness and trouble,疾病、烦恼,problemas físicos e problemas circunstanciais,"өвчин эмгэг, бэрхшээл зовлон"
151,節,knot,枝节,O nó,модны үе
152,おていれ,care,神治,O cuidado ,бурханы засалт
153,身上たすけの道,(the) path of salvation from illness,拯救疾病之道,O caminho da salvação dos sofrimentos físicos ,өвчин эмгэгээс аврах зам
154,「人をたすけるのやで」,"""Save other people.""",“要拯救人呀！”,Deve salvar os outros,хүнд тус хүргээч
155,身上の障りや事情のもつれ,illness and trouble,疾病或烦恼,Os molestamentos físicos e complicações circunstanciais,"өвчин эмгэг, зовлон шаналал"
156,立毛（りうけい）,crops,农作物,O alimento,Тариа ногоо ургац
157,疫病,epidemic,疫病,A Epidemia,халдварт өвчин
158,自然災害,natural disaster,自然灾害,O desastre natural,байгалын гамшиг
159,ざんねん,regret,神憾,O pesar,харамсал
160,りっぷく,anger,神怒,A ira,уурлал
161,道具衆,instruments,众道具,Os Instrumentos originais,багаж хэрэгсэл
162,十全の守護,ten aspects of the complete providence (of God the Parent),全能佑护,As dez providências divinas,Бүрэн төгс арван ивээл
163,眼うるおい,providence of the eyes and fluids,滋润眼睛,Os olhos e umidade,нүдний шингэн
164,水の守護の理,(the) providence of water,佑护水的功能之理,A providência da água,усны ивээлийн ёс
165,（人間身の内の）ぬくみ,(the) providence of warmth,体温,A temperatura (no corpo humano),(хүний биед) дулаан
166,火の守護の理,(the) providence of fire,佑护火的功能之理,A providência do fogo,галын ивээлийн ёс
167,（人間身の内の）女一の道具,(the) providence of the female organ,女性生殖,O órgão genital feminino  (no corpo humano),(хүний биед)эм бэлгэ эрхтэн
168,皮つなぎ,(the) providence of skin and joining,表皮及连结,A conexão da pele,арьс холбон залгах
169,万つなぎの守護の理,(the) providence of joining in general,一切连结的功能之理,A providência da conexão em geral,бүхнийг холбон залгах ивээлийн ёс
170,（人間身の内の）男一の道具,(the) providence of the male organ,男性生殖,O órgão genital masculino (no corpo humano),(хүний биед)эр бэлгэ эрхтэн
171,骨つっぱり,(the) providence of bones and support,骨骼及支撑,O esqueleto suportador ,яс түшиж тулах
172,万つっぱりの守護の理,(the) providence of support in general,一切支撑的功能之理,A providência do suporte em geral,бүхнийг түшин тулах ивээлийн ёс
173,（人間身の内の）飲み食い出入り,"(the) providence of eating, drinking, and elimination",饮食、排泄,A entrada e saída dos alimentos  (no corpo humano),"(Хүний биед) идэж уух・шингээж гаргах,"
174,水気上げ下げの守護の理,(the) providence of the rise and fall of moisture,水汽上升或下降的功能之理,A providência da subida e descida da umidade,ус ууршиж хур тунадас буухын ивээлийн ёс
175,（人間身の内の）息吹き分け,(the) providence of breathing and speaking,呼吸及发生,A respiração (no corpo humano),(Хүний биед) амьсгалах・үг дуу гаргах
176,風の守護の理,(the) providence of wind,风的功能之理,A providência do vento,салхины ивээлийн ёс
177,出産の時、親と子の胎縁を切り、出直しの時、息を引き取る世話,"(the) providence of cutting off the ties of the child to its mother at birth, and also in cutting off the breath of life when one passes away for rebirth",生产时使母子的胎缘分离，转生时断绝气息,A assistência divina de cortar a conexão do bebê com o útero da mãe no nascimento e de cortar a respiração no retornamento,"Амаржих үед эх үрийн хүйг таслах, төрөл арилжих үед амьсгал тасрах"
178,切ること一切の守護の理,(the) providence of cutting in general,一切断绝的功能之理,A providência do corte em geral,таслах бүгдийн ивээлийн ёс
179,出産の時、親の胎内から子を引き出す世話,(the) providence of pulling out the child from its mother during birth,生产时具有拉引胎儿的功能,A assistência divina de extrair a criança do útero da mãe no nascimento,Амаржих үед үрийг эхийн хэвлийгээс татаж гаргах
180,引き出し一切の守護の理,(the) providence of pulling forth in general,一切拉引的功能之理,A providência da extração em geral,татаж гаргах бүгдийн ивээлийн ёс.
181,男雛型,(the) model of man,男雏形,O protótipo de homem,Эрэгтэй хүний загвар
182,種の理,the seed,种源之理,A função de semente,үрийн ивээлийн ёс
183,女雛型,(the) model of woman,女雏型,O protótipo de mulher,Эмэгтэй хүний загвар
184,苗代の理,the seedplot,苗床之理,A função de viveiro,үрслүүрийн ивээлийн ёс
185,火・水・風,"fire, water, and wind",火、水、风,"O fogo, a água e o vento","гал, ус салхи"
186,ふたつひとつが天の理,These two are one in the truth of heaven.,二者合一此乃天理,Dois em um é a razão celeste,хоёр ёс нэгдэн тэнгэрийн ёс болно
187,息のさづけ,(the) Sazuke of Breath,气息神授,A concessão do Sopro,амьсгалт Сазүкэ
188,てをどりのさづけ,(the) Sazuke of Hand Dance,手舞神授,A concessão da Dança das Mãos,Гар бүжгийн Сазүкэ
189,あしきはらひのさづけ,(the) Sazuke of Ashikiharai,祈求邪恶皆除尽的神授,O Sazuke do Ashiki Harai,Ашики хараин Сазүкэ
190,扇,fan,扇子,O leque,дэвүүр
191,互いに立て合い扶け合う,help and respect one another,互敬互助,Respeitar e ajudar mutuamente / Salvar e ajudar uns aos outros,бие биеэнээ хүндлэн харилцан туслалцах
192,徳,virtue,德分,O mérito,хишиг
193,徳分,qualities and talents,德分,As qualidades / Virtudes,хишиг
194,かしもの・かりもの,"a thing lent, a thing borrowed",借贷之物,A coisa emprestada e tomada emprestada,"Зээлсэн эд, зээлдүүлсэн эд"
195,理の歌,songs of truth,理之歌,Os hinos da razão,ёсны дуу
196,神一条,single-heartedness with God,以神为上,A devoção única a Deus,Нэгэн сэтгэлээр бурханд итгэн дагах
197,前生いんねん,causality from previous lives,前世的因缘,A predestinação das vidas anteriores,урьд төрлийн хувь тавилан
198,いんねんの自覚,awareness of one's causality,因缘的自觉,A convicção da predestinação,хувь тавилангийн ухамсар
199,見るもいんねん・聞くもいんねん,Whatever you see is causality; whatever you hear is causality.,所见是因缘，所闻亦因缘。,"Ver também é predestinação, ouvir também é predestinação","харах нь ч хувь тавилан, сонсох нь ч хувь тавилан"
200,たね,seeds,种子,A semente,үр 
201,善き種子,good seeds,善种,Boas sementes,сайн үр
202,悪しき種子,bad seeds,恶种,Más sementes,муу үр
203,てびき,divine guidance,神引,A orientação,хөтлөл
204,心を定める,settle the mind,下定决心,Determinar o espírito,сэтгэл тогтоох
205,信心,faith,信心,A fé,сүсэг бишрэлийн сэтгэл
206,心一つが我の理,The mind alone is ours.,心灵乃是属于自己的,Somente o espírito nos pertence,гагцхүү сэтгэл л өөрийнх юм
207,まごころ,sincere heart,诚心诚意；一心一意；真诚,Espírito sincero,Чин үнэн сэтгэл
208,神にもたれる,lean on God,依靠神,Amparar em Deus,Эцэг эх бурханыг түшиглэх
209,ごくらく,paradise,极乐,O paraíso,амар амгалан
210,節から芽が出る,Buds sprout from knots.,枝节萌芽,Do nó sai o broto,Модны үеэс нахиа соёлно
211,肥,fertilizer,肥料,O fertilizante,бордоо
212,もっこを担う,bear straw baskets,挑筐,Portar a padiola no ombro,сүрлэн сагс дамнах
213,ものだね,seed of everything,好种苗；善种,Semente das coisas,үр
214,一れつ兄弟姉妹,All human beings are brothers and sisters.,彼此皆为兄弟姐妹,Somos todos irmãos,хүн төрөлхтөн бие биенээ бүгд ахан дүүс
215,普請,construction,建设,A construção,бүтээн байгуулалт
216,かんろだいの石普請,(the) construction of the stone Kanrodai,建石造甘露台,A obra da pedra do Kanrodai,чулуун Канродай босгон тавих
217,陽気ぐらしへの普請の用材,(the) material for the construction of the world of the Joyous Life,建设康乐生活的用材,Material para a construção do mundo de vida plena de alegria e felicidade,Энх баясгалант амьдралын бүтээн байгуулалтын материалын мод
218,陽気ぐらし世界建設,(the) construction of the Joyous Life World,建设康乐生活世界,Construção do mundo de vida plena de alegria e felicidade,Энх баясгалант амьдралын ертөнцийн бүтээн байгуулалт
219,教えの理を取り次ぐ,convey the teachings,传达教理,Transmitir a verdade do ensinamento,сургаалын ёсыг дамжуулах
220,心だすけの道,(the) path of the salvation of the mind,拯救心灵之道,O caminho da salvaçâo espiritual,хүний сэтгэлийг аврах зам
221,道の先達,pioneer of the path,天理之道（or 信仰）的先驱,Os pioneiros do caminho,сүсэг бишрэлийн замыг өвөг дээдэс
222,出直し,passing away for rebirth,转生,O retornamento,төрөл арилжих
223,魂は生き通し,Souls are everliving.,灵魂生生不息,A alma é eterna,сүнс өнө мөнхийн
224,生まれ変わり,to be born and reborn into this world,重生,Renascer,төрөл арилжих
225,たんのう,tanno,乐从,A satisfação sincera,баяртайгаар хүлээн авах
226,さんげ,repentance,忏悔,O arrependimento,наминчлал
227,たんのうは前生いんねんのさんげ,"""Tanno is accepted as the repentance for the causality from your previous lives.""",乐从即前生因缘之忏悔,A satisfação sincera é o arrependimento das más predestinações das vidas anteriores,баяртайгаар хүлээн авах гэдэг бол урьд төрлийн хувь тавилангийн наминчлал
228,往還道,broad path,康庄大道,O amplo caminho,дардан зам
229,あらきとうりょう,pioneer of the path,荒木栋梁,O desbravador,Аракиторёо/модны даамал
230,一日生涯,"one day, a lifetime",一日生涯,O dia de toda vida,насан турштан тогтоон барих
231,一粒万倍,ten thousandfold,一粒万倍,Um grão multiplicado em milhões,Нэг ширхэг үрийн түм дахин
232,一手一つ,unity of mind,齐心合一,União espiritual,нэгэн сэтгэл нэг тэмүүлэлд зоригжих
233,三原典,(the) Three Scriptures,三原典,Os três textos originais,гурван эх судар
234,おさしづ,the Osashizu,御指图,As Indicações Divinas,Осашизү
235,おふでさき,the Ofudesaki,御笔先,A Escritura Divina,Офүдэсаки
236,みかぐらうた,the Mikagura-uta,神乐歌,Hinos Sagrados,Микагүра мөрглийн дуу
237,天理教教祖伝逸話編,"Anecdotes of Oyasama, the Foundress of Tenrikyo",天理教教祖传逸话篇,Os Episódios da Vida de Oyassama,Тэнрикёо Оясама Тууж
238,天理教教祖伝,"The Life of Oyasama, Foundress of Tenrikyo",天理教教祖传,A Vida de Oyassama - Minuta,Тэнрикёо Оясама намтар
239,天理教教典,The Doctrine of Tenrikyo,天理教教典,A Doutrina da Tenrikyo,Тэнрикёогийн номлол
240,お道,(the) path,天理之道,O caminho / O ensinamento (depende do contexto),сүсэг бишрэлийн зам
241,末代,endless generations,永世,As últimas gerações / as gerações futuras,мөнхөд үргэлжлэх
242,本部,(Tenrikyo) Church Headquarters,本部,A Sede,Тенрикёо ерөнхий газар 
243,上級教会,parent church,上级教会,A igreja superior,дээд сүм
244,部内教会,affiliated church,部属教会,A igreja afiliada,дотоод сүм
245,大教会,grand church,大教会,A igreja-mor,том сүм
246,教会,church,教会,A igreja,сүм
247,お社,shrine ,神龛,Sacrário,Яширо буюу бурханы гэр
248,教会長,head minister,教会长,O condutor da igreja,Сүмийн хамба
249,教服,kyofuku robe,教服,A batina　(kyoufuku),номлогчийн хувцас
250,教話,sermon,教理讲话,A palestra,сургаалын яриа
251,企画チーム,truth of effectiveness,功能之理,O dom da eficácia,ид шидийн ёс
252,こころさだめ,resolution,下定决心,A determinação espiritual,сэтгэл тогтоон барьх
253,さんさいごころ,(the) mind of a three-year-old child,三岁之心,O espírito de três anos,гурван настай сэтгэл
254,守護,blessings,佑护,A providência,ивээл
255,生涯の心,mind for a lifetime,终生之心,O espírito de uma vida,насан турштан баримтлах
256,天の定規,(the) measure of heaven,天的规尺,A régua do céu,Тэнгэрийн захирагч
257,神人和楽,(the) harmonious union of God and humankind,神人和乐,Harmonia entre Deus e os seres humanos,бурхан хүн хамтдаа цэнгэлдэх
258,成人,spiritual maturity,心灵成长,A maturidade,итгэл бишрэлийн хөгжүүлэх
259,成人の節目,crucial opportunity to grow spiritually,心灵成长的时节,Um ponto marcante da evolução espiritual,итгэл бишрэлээ хөгжүүлэх боломж
260,世界たすけ,world salvation,世界拯救,A salvação mundial,дэлхий ертөнцийн аврал
261,陽気づくめの世界,world filled with joy,康乐丰实的世界,O mundo repleto de alegria,Энх баясгалангаар дүүрсэн ертөнц
262,先人,predecessors,先人,"predescessor, antecessor",өвөг дээдэс
263,たすかる,be saved,得救,Salvar,аврагдах
264,たすかる道,(the) path leading to salvation,拯救之道,O caminho para salvar / O  caminho da salvação,аврагдах зам
265,たすけあい,mutual help,互相帮助,A salvação mútua,бие биенээ харилцан туслалцах
266,人をたすける心,(the) mind of saving others,拯救他人的心,O espírito de salvar os próximos,бусдыг аврах сэтгэл
267,人たすけて我が身たすかる,"Through saving others, you will be saved.",救人己亦必得救,"Salvando os outros, estará salvando a si mesmo",Бусдыг аварвал өөрийн бие аврагдана
268,めずらしいたすけ,marvelous salvation,珍奇拯救,A salvação extraordinária,гайхамшигтай аврал
269,よろづたすけ,universal salvation,万般拯救,A salvação universal,Түмэн аврал
270,ふしぎなたすけ,miraculous salvation,不可思议拯救,A salvação maravilhosa,гайхамшигтай аврал
271,理の親,spiritual parent,理之亲,O pai espiritual,сургаал хүртээсэн хүн
272,理を立てる,uphold the truth,依理而为,Respeitar a razão,сургаалыг хүндэтгэн дагах
273,御守護を頂く,receive blessings,蒙获佑护,Receber a graça,ивээл хүртээх
274,お誓いの言葉,(the) Besseki Pledge,别席誓词,O Voto do Besseki,тангаргын үг
275,別席,(the) Besseki lecture,别席,O Besseki,бэссэки лекц
276,別席を運ぶ,attend the Besseki lecture,聆听别席,Conduzir às sessões de Besseki,бэссэки лекц сонсох
277,席札,Besseki attendance slip,别席单,A ficha do Besseki,бэссэки лекц сонсох хүснэгт
